#mT Tbq_01 Tbq_02 Tbq_03
1054.5 0.27149 0.258125 0.2450325
1055.0 0.2711 0.25775 0.24467499999999998
1055.5 0.27071 0.25737499999999996 0.24431749999999997
1056.0 0.27032 0.257 0.24395999999999998
1056.5 0.26993 0.256625 0.24360249999999997
1057.0 0.26954 0.25625 0.243245
1057.5 0.26915 0.25587499999999996 0.24288749999999998
1058.0 0.26876 0.2555 0.24252999999999997
1058.5 0.26837 0.255125 0.24217249999999998
1059.0 0.26798 0.25475 0.24181499999999997
1059.5 0.26759 0.254375 0.2414575
1060.0 0.2672 0.254 0.24109999999999998
1060.5 0.26681 0.253625 0.24074249999999997
1061.0 0.26642 0.25325 0.240385
1061.5 0.26603 0.25287499999999996 0.24002749999999998
1062.0 0.26564 0.2525 0.23967
1062.5 0.26525 0.252125 0.23931249999999998
1063.0 0.26486 0.25175 0.23895499999999997
1063.5 0.26447 0.251375 0.23859749999999996
1064.0 0.26408 0.251 0.23823999999999998
1064.5 0.26369 0.250625 0.2378825
1065.0 0.2633 0.25025 0.237525
1065.5 0.26291 0.24987499999999999 0.23716749999999998
1066.0 0.26252 0.2495 0.23680999999999996
1066.5 0.26213 0.24912499999999999 0.23645249999999998
1067.0 0.26174 0.24874999999999997 0.23609499999999997
1067.5 0.26134999999999997 0.24837499999999998 0.2357375
1068.0 0.26096 0.248 0.23537999999999998
1068.5 0.26057 0.24762499999999998 0.23502249999999997
1069.0 0.26018 0.24724999999999997 0.23466499999999998
1069.5 0.25979 0.24687499999999998 0.23430749999999997
1070.0 0.2594 0.2465 0.23395
1070.5 0.25901 0.24612499999999998 0.23359249999999998
1071.0 0.25862 0.24575 0.23323499999999997
1071.5 0.25823 0.24537499999999998 0.2328775
1072.0 0.25784 0.245 0.23251999999999998
1072.5 0.25745 0.24462499999999998 0.2321625
1073.0 0.25706 0.24425 0.23180499999999998
1073.5 0.25667 0.24387499999999998 0.23144749999999997
1074.0 0.25628 0.2435 0.23109
1074.5 0.25589 0.24312499999999998 0.23073249999999998
1075.0 0.2555 0.24275 0.230375
1075.5 0.25511 0.24237499999999998 0.23001749999999999
1076.0 0.25472 0.242 0.22965999999999998
1076.5 0.25433 0.24162499999999998 0.22930249999999996
1077.0 0.25394 0.24125 0.22894499999999998
1077.5 0.25355 0.24087499999999998 0.22858749999999997
1078.0 0.25316 0.2405 0.22823
1078.5 0.25277 0.24012499999999998 0.22787249999999998
1079.0 0.25238 0.23975 0.22751499999999997
1079.5 0.25199 0.23937499999999998 0.22715749999999998
1080.0 0.2516 0.239 0.22679999999999997
1080.5 0.25121 0.23862499999999998 0.2264425
1081.0 0.25082 0.23825 0.22608499999999998
1081.5 0.25043 0.237875 0.22572749999999997
1082.0 0.25004 0.2375 0.22537
1082.5 0.24964999999999998 0.23712499999999997 0.22501249999999998
1083.0 0.24926 0.23675 0.224655
1083.5 0.24887 0.236375 0.22429749999999998
1084.0 0.24848 0.236 0.22393999999999997
1084.5 0.24809 0.23562499999999997 0.2235825
1085.0 0.2477 0.23525 0.22322499999999998
1085.5 0.24731 0.234875 0.2228675
1086.0 0.24692 0.2345 0.22250999999999999
1086.5 0.24653 0.23412499999999997 0.22215249999999997
1087.0 0.24614 0.23374999999999999 0.22179499999999996
1087.5 0.24575 0.233375 0.22143749999999998
1088.0 0.24536000000000002 0.23299999999999998 0.22108
1088.5 0.24497000000000002 0.23262499999999997 0.2207225
1089.0 0.24458000000000002 0.23224999999999998 0.22036499999999998
1089.5 0.24419000000000002 0.231875 0.22000749999999997
1090.0 0.24380000000000002 0.23149999999999998 0.21964999999999998
1090.5 0.24341000000000002 0.23112499999999997 0.2192925
1091.0 0.24302 0.23074999999999998 0.218935
1091.5 0.24263 0.230375 0.21857749999999998
1092.0 0.24224 0.22999999999999998 0.21821999999999997
