m k res ratio channel r
1848.4848484848485 0.8710889198606794 -1 -0.8710889198606794 -1 0.8346631103455193
2145.4545454545455 1.0135491117095252 -1 -1.0135491117095252 -1 0.9746605805601093
1494.949494949495 0.5671072767678537 1 0.9693540716528335 30 0.023368413937534718
2385.8585858585857 0.9641965051180372 -1 -0.9641965051180372 -1 0.6613608154890002
1212.121212121212 0.5897061552217489 1 0.988491221807307 31 0.020909435929747356
1197.979797979798 1.017052834460646 0 1.7292274417984816 31 0.274593650366574
2385.8585858585857 1.0259880041372746 -1 -1.0259880041372746 -1 0.8246801946472561
1339.3939393939395 1.1145172660785074 0 1.832749548328825 30 0.3085212418804537
1410.1010101010102 1.0202126680840158 0 1.7362140554641807 30 0.23877408075566597
1876.7676767676767 0.8777466477587936 -1 -0.8777466477587936 -1 0.23019053104247345
2315.151515151515 0.8372607827770565 -1 -0.8372607827770565 -1 0.22418674867785096
2202.0202020202023 1.1043285389479474 -1 -1.1043285389479474 -1 0.7024856157298554
1183.8383838383838 0.9631812906308405 0 1.6617728189919638 31 0.28225874628798475
1254.5454545454545 1.09866749503071 0 1.7803355738609035 30 0.2933701123169258
2173.7373737373737 0.8452405917274216 -1 -0.8452405917274216 -1 0.23194677894703927
1028.2828282828282 1.057326117236981 0 1.931427554600479 31 0.12696005410357353
1806.060606060606 1.0692554348143088 -1 -1.0692554348143088 -1 0.6404629330053057
1197.979797979798 0.9737361925975534 0 1.6555790301739872 31 0.2817722666267898
1311.111111111111 1.0124552719572284 0 1.63950263392137 30 0.14429124669891752
