mass br_wb br_zt br_ht s_l
627 0.498314396959761 0.19460224413641516 0.30708335890382393 0.1
628 0.4983107567571721 0.19475459592890776 0.30693464731392023 0.1
629 0.4983072553342066 0.19490633878959185 0.30678640587620154 0.1
630 0.49830389068951125 0.19505747573610882 0.30663863357438 0.1
631 0.4983006608504407 0.1952080097694072 0.306491329380152 0.1
632 0.49829756387260626 0.1953579438738316 0.30634449225356225 0.1
633 0.4982945978394331 0.19550728101720974 0.30619812114335715 0.1
634 0.4982917608617258 0.1956560241509403 0.3060522149873338 0.1
635 0.49828905107724025 0.19580417621008042 0.30590677271267935 0.1
636 0.49828646665026416 0.19595174011343222 0.3057617932363036 0.1
637 0.49828400577120363 0.19609871876363058 0.3056172754651658 0.1
638 0.49828166665617857 0.1962451150472289 0.30547321829659246 0.1
639 0.4982794475466238 0.19639093183478634 0.30532962061858987 0.1
640 0.4982773467088967 0.19653617198095333 0.30518648131015 0.1
641 0.49827536243389375 0.1966808383245578 0.3050437992415484 0.1
642 0.4982734930366706 0.1968249336886914 0.30490157327463785 0.1
643 0.4982717368560724 0.19696846088079398 0.3047598022631336 0.1
644 0.4982700922543665 0.19711142269273924 0.3046184850528941 0.1
645 0.49826855761688393 0.1972538219009202 0.30447762048219595 0.1
646 0.49826713135166667 0.19739566126633268 0.3043372073820007 0.1
647 0.49826581188912106 0.1975369435346605 0.3041972445762185 0.1
648 0.4982645976816751 0.19767767143635953 0.3040577308819653 0.1
649 0.49826348720344527 0.19781784768674127 0.3039186651098135 0.1
650 0.49826247894990466 0.1979574749860563 0.30378004606403897 0.1
651 0.49826157143756145 0.19809655601957765 0.30364187254286096 0.1
652 0.4982607632036379 0.19823509345768378 0.3035041433386784 0.1
653 0.49826005280575786 0.19837308995594125 0.30336685723830087 0.1
654 0.4982594388216402 0.19851054815518684 0.30323001302317293 0.1
655 0.4982589198487941 0.19864747068160948 0.30309360946959646 0.1
656 0.4982584945042219 0.19878386014683266 0.3029576453489454 0.1
657 0.49825816142412716 0.1989197191479948 0.30282211942787807 0.1
658 0.49825791926362534 0.19905505026783124 0.3026870304685435 0.1
659 0.4982577666964619 0.1991898560747544 0.3025523772287838 0.1
660 0.49825770241473305 0.19932413912293462 0.3024181584623324 0.1
661 0.4982577251286125 0.19945790195238022 0.3022843729190074 0.1
662 0.4982578335660819 0.19959114708901698 0.30215101934490113 0.1
